Title,Price
"At The Existentialist CafÃ©: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",29.93
All the Light We Cannot See,29.87
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",29.87
The Hunger Games (The Hunger Games #1),29.85
Bridget Jones's Diary (Bridget Jones #1),29.82
The Picture of Dorian Gray,29.7
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69
Island of Dragons (Unwanteds #7),29.65
"The Land of 10,000 Madonnas",29.64
The Odyssey,29.64
Man's Search for Meaning,29.48
The Selfish Gene,29.45
Morning Star (Red Rising #3),29.4
The Mirror & the Maze (The Wrath and the Dawn #1.5),29.38
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14
Looking for Lovely: Collecting the Moments that Matter,29.14
"Shobu Samurai, Project Aryoku (#3)",29.06
Les Fleurs du Mal,29.04
First Steps for New Christians (Print Edition),29.0
Origins (Alphas 0.5),28.99
South of Sunshine,28.93
Mr. Mercedes (Bill Hodges Trilogy #1),28.9
I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,28.88
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",28.85
Hold Your Breath (Search and Rescue #1),28.82
Burning,28.81
Forever Rockers (The Rocker #12),28.8
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,28.77
Like Never Before (Walker Family #2),28.77
The Metamorphosis,28.58
Red: The True Story of Red Riding Hood,28.54
"Saga, Volume 1 (Saga (Collected Editions) #1)",28.48
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",28.45
Choosing Our Religion: The Spiritual Lives of America's Nones,28.42
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,28.41
"Rhythm, Chord & Malykhin",28.34
Matilda,28.34
The Passion of Dolssa,28.32
Modern Romance,28.26
How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,28.25
The Geography of Bliss: One Grump's Search for the Happiest Places in the World,28.23
A Fierce and Subtle Poison,28.13
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09
The Marriage of Opposites,28.08
Little Women (Little Women #1),28.07
The Shack,28.03
Barefoot Contessa Back to Basics,28.01
The Haters,27.89
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",27.88
The Time Keeper,27.88
The Shining (The Shining #1),27.88
God Is Not Great: How Religion Poisons Everything,27.8
Lost Among the Living,27.7
"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",27.62
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55
Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43
Best of My Love (Fool's Gold #20),27.41
The Infinities,27.41
The Secret (The Secret #1),27.37
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",27.35
The Widow,27.26
M Train,27.18
This Is Where It Ends,27.12
Eligible (The Austen Project #4),27.09
13 Hours: The Inside Account of What Really Happened In Benghazi,27.06
Poisonous (Max Revere Novels #3),26.8
Let It Out: A Journey Through Journaling,26.79
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),26.78
Girl With a Pearl Earring,26.77
Gratitude,26.66
Atlas Shrugged,26.58
Reasons to Stay Alive,26.41
Still Life with Bread Crumbs,26.41
The Day the Crayons Came Home (Crayons),26.33
The Nightingale,26.26
The Midnight Watch: A Novel of the Titanic and the Californian,26.2
Life After Life,26.13
Soft Apocalypse,26.12
Cinder (The Lunar Chronicles #1),26.09
"1,000 Places to See Before You Die",26.08
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98
The White Queen (The Cousins' War #1),25.91
Meditations,25.89
The First Hostage (J.B. Collins #2),25.85
Starlark,25.83
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",25.83
Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,25.77
Toddlers Are A**holes: It's Not Your Fault,25.55
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48
Extreme Prey (Lucas Davenport #26),25.4
Through the Woods,25.38
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37
Chase Me (Paris Nights #2),25.27
Talking to Girls About Duran Duran: One Young Man's Quest for True Love and a Cooler Haircut,25.15
Nap-a-Roo,25.08
"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",25.06
"Lean In: Women, Work, and the Will to Lead",25.02
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02
Cometh the Hour (The Clifton Chronicles #6),25.01
It,25.01
Paradise Lost (Paradise #1),24.96
Mexican Today: New and Rediscovered Recipes for Contemporary Kitchens,24.91
Lord of the Flies,24.89
The Mysterious Affair at Styles (Hercule Poirot #1),24.8
The Little Paris Bookshop,24.73
Career of Evil (Cormoran Strike #3),24.72
Soldier (Talon #3),24.72
Zealot: The Life and Times of Jesus of Nazareth,24.7
Orange Is the New Black,24.61
The Book of Mormon,24.57
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",24.57
The Catcher in the Rye,24.55
My Mrs. Brown,24.48
Sugar Rush (Offensive Line #2),24.42
Harry Potter and the Prisoner of Azkaban (Harry Potter #3),24.17
The Wedding Dress,24.12
We Are All Completely Beside Ourselves,24.04
Shoe Dog: A Memoir by the Creator of NIKE,23.99
Dark Places,23.9
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89
Olio,23.88
The Elephant Tree,23.82
Lola and the Boy Next Door (Anna and the French Kiss #2),23.63
The Smitten Kitchen Cookbook,23.59
Rain Fish,23.57
The Autobiography of Malcolm X,23.43
The Loney,23.4
Red Dragon (Hannibal Lecter #1),23.37
Harry Potter and the Deathly Hallows (Harry Potter #7),23.32
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21
Three-Martini Lunch,23.21
The Emerald Mystery,23.15
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11
The Silkworm (Cormoran Strike #2),23.05
The Da Vinci Code (Robert Langdon #2),22.96
Charlie and the Chocolate Factory (Charlie Bucket #1),22.85
The Requiem Red,22.65
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6
Maybe Something Beautiful: How Art Transformed a Neighborhood,22.54
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5
Find Her (Detective D.D. Warren #8),22.37
Letter to a Christian Nation,22.2
Grumbles,22.16
The Girl Who Played with Fire (Millennium Trilogy #2),22.14
Wildlife of New York: A Five-Borough Coloring Book,22.14
Code Name Verity (Code Name Verity #1),22.13
"The End of Faith: Religion, Terror, and the Future of Reason",22.13
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11
Big Little Lies,22.11
The Art of Fielding,22.1
Twenty Yawns,22.08
Ash,22.06
In the Country We Love: My Family Divided,22.0
Hystopia: A Novel,21.96
Fifty Shades Darker (Fifty Shades #2),21.96
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95
Can You Keep a Secret?,21.94
You Are What You Love: The Spiritual Power of Habit,21.87
Rising Strong,21.82
1491: New Revelations of the Americas Before Columbus,21.8
World War Z: An Oral History of the Zombie War,21.8
Blink: The Power of Thinking Without Thinking,21.74
Shadow Rites (Jane Yellowrock #10),21.72
"Paper Girls, Vol. 1 (Paper Girls #1-5)",21.71
Born for This: How to Find the Work You Were Meant to Do,21.59
"Saga, Volume 3 (Saga (Collected Editions) #3)",21.57
Beautiful Creatures (Caster Chronicles #1),21.55
Follow You Home,21.36
Arena,21.36
An Unquiet Mind: A Memoir of Moods and Madness,21.3
Fire Bound (Sea Haven/Sisters of the Heart #5),21.28
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,21.21
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",21.15
"Thinking, Fast and Slow",21.14
Boy Meets Boy,21.12
Voyager (Outlander #3),21.07
Tuesday Nights in 1980,21.04
The Art of Startup Fundraising,21.0
"Fruits Basket, Vol. 6 (Fruits Basket #6)",20.96
The Maze Runner (The Maze Runner #1),20.93
If I Gave You God's Phone Number....: Searching for Spirituality in America,20.91
"Sit, Stay, Love",20.9
Steal Like an Artist: 10 Things Nobody Told You About Being Creative,20.9
Delivering the Truth (Quaker Midwife Mystery #1),20.89
Adultery,20.88
Between Shades of Gray,20.79
Critique of Pure Reason,20.75
Shakespeare's Sonnets,20.66
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59
"Love, Lies and Spies",20.55
Cravings: Recipes for What You Want to Eat,20.5
Redeeming Love,20.47
Keep Me Posted,20.46
Mockingjay (The Hunger Games #3),20.44
Blood Defense (Samantha Brinkman #1),20.3
Cell,20.29
Secrets and Lace (Fatal Hearts #1),20.27
John Vassos: Industrial Design for Modern Life,20.22
Team of Rivals: The Political Genius of Abraham Lincoln,20.12
Is Everyone Hanging Out Without Me? (And Other Concerns),20.11
Everyday Italian: 125 Simple and Delicious Recipes,20.1
No One Here Gets Out Alive,20.02
"Run, Spot, Run: The Ethics of Keeping Pets",20.02
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92
Reskilling America: Learning to Labor in the Twenty-First Century,19.83
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73
I've Got Your Number,19.69
The Zombie Room,19.69
Outlander (Outlander #1),19.67
"In a Dark, Dark Wood",19.63
What's It Like in Space?: Stories from Astronauts Who've Been There,19.6
"Fruits Basket, Vol. 7 (Fruits Basket #7)",19.57
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",19.55
A Mother's Reckoning: Living in the Aftermath of Tragedy,19.53
This One Summer,19.49
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43
Pride and Prejudice,19.27
Brazen: The Courage to Find the You That's Been Hiding,19.22
The Cuckoo's Calling (Cormoran Strike #1),19.21
Dark Notes,19.19
The Edge of Reason (Bridget Jones #2),19.18
Large Print Heart of the Pride,19.15
The Torch Is Passed: A Harding Family Story,19.09
Ready Player One,19.07
Me Before You (Me Before You #1),19.02
"Pop Gun War, Volume 1: Gift",18.97
Taking Shots (Assassins #1),18.88
Unicorn Tracks,18.78
The Golden Compass (His Dark Materials #1),18.77
Eclipse (Twilight #3),18.74
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",18.51
Amy Meets the Saints and Sages,18.46
Give It Back,18.32
Once Was a Time,18.28
"Where'd You Go, Bernadette",18.13
Love Is a Mix Tape (Music #1),18.03
Maude (1883-1993):She Grew Up with the country,18.02
Counted With the Stars (Out from Egypt #1),17.97
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",17.81
The Hobbit (Middle-Earth Universe),17.8
Why Not Me?,17.76
Wuthering Heights,17.73
The Four Agreements: A Practical Guide to Personal Freedom,17.66
Booked,17.49
Set Me Free,17.46
The Stranger,17.44
The Literature Book (Big Ideas Simply Explained),17.43
Lilac Girls,17.28
Thirst,17.27
The Genius of Birds,17.24
A Feast for Crows (A Song of Ice and Fire #4),17.21
Camp Midnight,17.08
Balloon Animals,17.03
A Spy's Devotion (The Regency Spies of London #1),16.97
Fool Me Once,16.96
"Mother, Can You Not?",16.89
The Power of Habit: Why We Do What We Do in Life and Business,16.88
Louisa: The Extraordinary Life of Mrs. Adams,16.85
The Gunning of America: Business and the Making of American Gun Culture,16.81
The Course of Love,16.78
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77
A Study in Scarlet (Sherlock Holmes #1),16.73
The Flowers Lied,16.68
A Murder in Time,16.64
The Constant Princess (The Tudor Court #1),16.62
Daredevils,16.34
"Fruits Basket, Vol. 5 (Fruits Basket #5)",16.33
Peak: Secrets from the New Science of Expertise,16.28
Lady Midnight (The Dark Artifices #1),16.28
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28
The Cat in the Hat (Beginner Books B-1),16.26
The Glass Castle,16.24
Something More Than This,16.24
Shiver (The Wolves of Mercy Falls #1),16.23
The Iliad,16.16
First and First (Five Boroughs #3),15.97
Sophie's World,15.94
The Girl In The Ice (DCI Erika Foster #1),15.85
The Girl You Left Behind (The Girl You Left Behind #1),15.79
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,15.77
The Travelers,15.77
One with You (Crossfire #5),15.71
Kill the Boy Band,15.52
Ayumi's Violin,15.48
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),15.42
"Vampire Knight, Vol. 1 (Vampire Knight #1)",15.4
Batman: The Dark Knight Returns (Batman),15.38
Fifty Shades Freed (Fifty Shades #3),15.36
Disrupted: My Misadventure in the Start-Up Bubble,15.28
The Secret Garden,15.08
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06
Obsidian (Lux #1),14.86
The Hound of the Baskervilles (Sherlock Holmes #5),14.82
The Communist Manifesto,14.76
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75
A Gentleman's Position (Society of Gentlemen #3),14.75
Harry Potter and the Chamber of Secrets (Harry Potter #2),14.74
Two Summers,14.64
A Distant Mirror: The Calamitous 14th Century,14.58
Scarlet (The Lunar Chronicles #2),14.57
The Guns of August,14.54
The Epidemic (The Program 0.6),14.44
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",14.41
The End of the Jesus Era (An Investigation #1),14.4
Eight Hundred Grapes,14.39
Wild Swans,14.36
Untitled Collection: Sabbath Poems 2014,14.27
Poems That Make Grown Women Cry,14.19
Outliers: The Story of Success,14.16
Roller Girl,14.1
A Visit from the Goon Squad,14.08
On a Midnight Clear,14.07
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99
That Darkness (Gardiner and Renner #1),13.92
Harry Potter and the Sorcerer's Stone (Harry Potter #1),13.9
Will You Won't You Want Me?,13.86
The Guilty (Will Robie #4),13.82
The Grand Design,13.76
Some Women,13.73
Playing with Fire,13.71
Vegan Vegetarian Omnivore: Dinner for Everyone at the Table,13.66
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61
Night (The Night Trilogy #1),13.51
Little Red,13.47
Changing the Game (Play by Play #2),13.38
Mothering Sunday,13.34
Princess Between Worlds (Wide-Awake Princess #5),13.34
Sister Sable (The Mad Queen #1),13.33
"The Three Searches, Meaning, and the Story",13.33
Life of Pi,13.22
"A Murder Over a Girl: Justice, Gender, Junior High",13.2
Logan Kade (Fallen Crest High #5.5),13.12
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",13.03
Walt Disney's Alice in Wonderland,12.96
Running with Scissors,12.91
Dark Lover (Black Dagger Brotherhood #1),12.87
New Moon (Twilight #2),12.86
In Her Wake,12.84
Night Shift (Night Shift #1-20),12.75
The Third Wave: An Entrepreneurâs Vision of the Future,12.61
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,12.55
Agnostic: A Spirited Manifesto,12.51
Lila (Gilead #3),12.47
"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",12.36
The Silent Wife,12.34
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",12.34
The Giver (The Giver Quartet #1),12.3
The Girl You Lost,12.29
The Purest Hook (Second Circle Tattoos #3),12.25
So You've Been Publicly Shamed,12.23
Every Heart a Doorway (Every Heart A Doorway #1),12.16
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,12.08
"The Suffragettes (Little Black Classics, #96)",11.89
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89
The Children,11.88
Lust & Wonder,11.87
Hide Away (Eve Duncan #20),11.84
Old School (Diary of a Wimpy Kid #10),11.83
The 5th Wave (The 5th Wave #1),11.83
Underlying Notes,11.82
"Saga, Volume 2 (Saga (Collected Editions) #2)",11.75
"The Sleep Revolution: Transforming Your Life, One Night at a Time",11.68
"Fruits Basket, Vol. 2 (Fruits Basket #2)",11.64
My Kitchen Year: 136 Recipes That Saved My Life,11.53
Remember Me?,11.48
Brilliant Beacons: A History of the American Lighthouse,11.45
"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",11.38
The Darkest Corners,11.33
City of Fallen Angels (The Mortal Instruments #4),11.23
Dear Mr. Knightley,11.21
Beauty Restored (Riley Family Legacy Novellas #3),11.11
Reservations for Two,11.1
The Power Greens Cookbook: 140 Delicious Superfood Recipes,11.05
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97
The Argonauts,10.93
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),10.92
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9
Green Eggs and Ham (Beginner Books B-16),10.79
A Clash of Kings (A Song of Ice and Fire #2),10.79
Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),10.76
Tastes Like Fear (DI Marnie Rome #3),10.69
Are We There Yet?,10.66
The Project,10.65
The Complete Maus (Maus #1-2),10.64
Counting Thyme,10.62
I Am Pilgrim (Pilgrim #1),10.6
Pet Sematary,10.56
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",10.41
The Lucifer Effect: Understanding How Good People Turn Evil,10.4
History of Beauty,10.29
The Fellowship of the Ring (The Lord of the Rings #1),10.27
Greek Mythic History,10.23
Patience,10.16
The Tipping Point: How Little Things Can Make a Big Difference,10.02
The Origin of Species,10.01
An Abundance of Katherines,10.0
